source,target,relationship
C0242788,C0006145,IS_A
C0242788,C0006145,IS_A
C0242788,C1458155,IS_A
C0242788,C1458155,IS_A
C0242788,C1458155,IS_A
C0242788,C1458155,IS_A
C0242788,C1458155,IS_A
C0242788,C1458155,IS_A
C0242788,C1458155,IS_A
C0242788,C1458155,IS_A
C0242788,C1458155,IS_A
C0242788,C1458155,IS_A
C0242788,C1458155,IS_A
C0242788,C1458155,IS_A
C0242788,C1458155,IS_A
C0242788,C1458155,IS_A
C0242788,C1458155,IS_A
C0242788,C1458155,IS_A
C0006145,C0006145,IS_A
C0006145,C0006145,IS_A
C0006145,C0012634,IS_A
C0006145,C0037274,IS_A
C0006145,C0037274,IS_A
C0006145,C0037274,IS_A
C0006145,C0037274,IS_A
C0006145,C0037274,IS_A
C0006145,C0037274,IS_A
C0006145,C0037274,IS_A
C0006145,C0037274,IS_A
C0006145,C0037274,IS_A
C0006145,C0037274,IS_A
C0006145,C0037274,IS_A
C0006145,C0037274,IS_A
C0006145,C0037274,IS_A
C0006145,C0037274,IS_A
C0006145,C0039978,IS_A
C0006145,C0039978,IS_A
C0006145,C0043210,IS_A
C0006145,C0080276,IS_A
C0006145,C0080276,IS_A
C0006145,C0080276,IS_A
C0006145,C0080276,IS_A
C0006145,C0700038,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0006145,IS_A
C1458155,C0027651,IS_A
C1458155,C0027653,IS_A
C1458155,C0027653,IS_A
C1458155,C0027653,IS_A
C1458155,C0027653,IS_A
C1458155,C0027653,IS_A
C1458155,C0027653,IS_A
C1458155,C0027653,IS_A
C1458155,C0027653,IS_A
C1458155,C0027653,IS_A
C1458155,C0027653,IS_A
C1458155,C0027653,IS_A
C1458155,C0027653,IS_A
C1458155,C0027653,IS_A
C1458155,C0027653,IS_A
C1458155,C0027653,IS_A
C1458155,C0027653,IS_A
C1458155,C0039981,IS_A
C1458155,C0039981,IS_A
C1458155,C1458155,IS_A
C0012634,C0030660,IS_A
C0012634,C0030660,IS_A
C0012634,C0030660,IS_A
C0012634,C0030660,IS_A
C0012634,C0030660,IS_A
C0012634,C0030660,IS_A
C0012634,C0030660,IS_A
C0012634,C0030660,IS_A
C0012634,C0030660,IS_A
C0012634,C0030660,IS_A
C0012634,C0030660,IS_A
C0012634,C0030660,IS_A
C0012634,C0030660,IS_A
C0012634,C0030660,IS_A
C0012634,C0037088,IS_A
C0012634,C0037088,IS_A
C0037274,C0011900,IS_A
C0037274,C0012634,IS_A
C0037274,C0012634,IS_A
C0037274,C0037274,IS_A
C0037274,C0175166,IS_A
C0037274,C0175166,IS_A
C0037274,C0175166,IS_A
C0037274,C0175166,IS_A
C0037274,C0175166,IS_A
C0037274,C0175166,IS_A
C0037274,C0175166,IS_A
C0037274,C0175166,IS_A
C0037274,C0175166,IS_A
C0037274,C0175166,IS_A
C0037274,C0175166,IS_A
C0037274,C0175166,IS_A
C0037274,C0175166,IS_A
C0037274,C0175166,IS_A
C0037274,C0178298,IS_A
C0037274,C0178298,IS_A
C0037274,C0178298,IS_A
C0037274,C0178298,IS_A
C0037274,C0178298,IS_A
C0037274,C0178298,IS_A
C0039978,C0035242,IS_A
C0039978,C0035242,IS_A
C0039978,C0035242,IS_A
C0039978,C0035242,IS_A
C0039978,C0035242,IS_A
C0039978,C0035242,IS_A
C0039978,C0035242,IS_A
C0039978,C0035242,IS_A
C0039978,C0035242,IS_A
C0039978,C0035242,IS_A
C0039978,C0035242,IS_A
C0039978,C0035242,IS_A
C0039978,C0035242,IS_A
C0039978,C0035242,IS_A
C0043210,C0001675,IS_A
C0043210,C0001675,IS_A
C0043210,C0027361,IS_A
C0043210,C0027361,IS_A
C0043210,C0027361,IS_A
C0043210,C0027361,IS_A
C0043210,C0027361,IS_A
C0043210,C0027361,IS_A
C0043210,C0027361,IS_A
C0043210,C0027361,IS_A
C0043210,C0027361,IS_A
C0043210,C0027361,IS_A
C0043210,C0027361,IS_A
C0043210,C0027361,IS_A
C0043210,C0027361,IS_A
C0043210,C0027361,IS_A
C0080276,C0011900,IS_A
C0080276,C0012674,IS_A
C0080276,C0080276,IS_A
C0080276,C0080276,IS_A
C0080276,C0080276,IS_A
C0080276,C1137110,IS_A
C0700038,C0017421,IS_A
C0700038,C0017421,IS_A
C0700038,C0017421,IS_A
C0700038,C0017421,IS_A
C0027651,C0011900,IS_A
C0027651,C0012634,IS_A
C0027651,C0012674,IS_A
C0027651,C0027651,IS_A
C0027651,C0027651,IS_A
C0027651,C0027671,IS_A
C0027651,C0950133,IS_A
C0027651,C1137110,IS_A
C0027653,C0027651,IS_A
C0027653,C0027651,IS_A
C0027653,C0027651,IS_A
C0027653,C0027651,IS_A
C0027653,C0027651,IS_A
C0027653,C0027651,IS_A
C0027653,C0027651,IS_A
C0027653,C0027651,IS_A
C0027653,C0027651,IS_A
C0027653,C0027651,IS_A
C0027653,C0027651,IS_A
C0027653,C0027651,IS_A
C0027653,C0027651,IS_A
C0027653,C0027651,IS_A
C0027653,C0027651,IS_A
C0027653,C0027651,IS_A
C0039981,C0027653,IS_A
C0039981,C0027653,IS_A
C0039981,C0027653,IS_A
C0039981,C0027653,IS_A
C0039981,C0027653,IS_A
C0039981,C0027653,IS_A
C0039981,C0027653,IS_A
C0039981,C0027653,IS_A
C0039981,C0027653,IS_A
C0039981,C0027653,IS_A
C0039981,C0027653,IS_A
C0039981,C0027653,IS_A
C0039981,C0027653,IS_A
C0039981,C0027653,IS_A
C0039981,C0027653,IS_A
C0039981,C0039978,IS_A
C0039981,C0039978,IS_A
C0039981,C0039978,IS_A
C0039981,C0039978,IS_A
C0039981,C0039978,IS_A
